config,question_model,doc_model,mode,sparse_weight,scope,neighbor_tolerance,group_kind,corpus,document,n_queries,recall@5,recall@10,mrr@10,ndcg@10
bb-hybrid,bge,bge,hybrid,0.3,doc,0,q_type_phrasing,mixed,4 날짜기반 / 직접포함,50,0.68,0.74,0.5951,0.6303
bb-hybrid,bge,bge,hybrid,0.3,doc,0,document_q_type,en,jabber_en / 1 의미기반,50,0.26,0.34,0.2329,0.2576
bb-hybrid,bge,bge,hybrid,0.3,doc,0,document_q_type,en,jabber_en / 2 식별자+의미기반,50,0.86,0.9,0.7062,0.7546
bb-hybrid,bge,bge,hybrid,0.3,doc,0,document_q_type,en,jabber_en / 3 화자기반,50,0.58,0.76,0.4654,0.5341
bb-hybrid,bge,bge,hybrid,0.3,doc,0,document_q_type,en,jabber_en / 4 날짜기반,50,0.38,0.5,0.3365,0.3745
bb-hybrid,bge,bge,hybrid,0.3,doc,0,document_q_type,ru,jabber_ru / 1 의미기반,50,0.34,0.36,0.2423,0.2713
bb-hybrid,bge,bge,hybrid,0.3,doc,0,document_q_type,ru,jabber_ru / 2 식별자+의미기반,50,0.86,0.88,0.7275,0.7651
bb-hybrid,bge,bge,hybrid,0.3,doc,0,document_q_type,ru,jabber_ru / 3 화자기반,50,0.62,0.74,0.4637,0.5295
bb-hybrid,bge,bge,hybrid,0.3,doc,0,document_q_type,ru,jabber_ru / 4 날짜기반,50,0.42,0.46,0.3456,0.3736
bb-hybrid,bge,bge,hybrid,0.3,doc,0,overall,multi,ALL(다국어),400,0.54,0.6175,0.44,0.4825
bb-hybrid,bge,bge,hybrid,0.3,doc,0,overall,all,ALL,400,0.54,0.6175,0.44,0.4825
bk,bge,kure,dense,,doc,0,document,en,jabber_en,200,0.47,0.54,0.3897,0.4258
bk,bge,kure,dense,,doc,0,document,ru,jabber_ru,200,0.47,0.58,0.4016,0.4434
bk,bge,kure,dense,,doc,0,q_type,mixed,QTYPE(1 의미기반),100,0.29,0.38,0.2148,0.2539
bk,bge,kure,dense,,doc,0,q_type,mixed,QTYPE(2 식별자+의미기반),100,0.76,0.81,0.6945,0.7227
bk,bge,kure,dense,,doc,0,q_type,mixed,QTYPE(3 화자기반),100,0.53,0.68,0.4102,0.4738
bk,bge,kure,dense,,doc,0,q_type,mixed,QTYPE(4 날짜기반),100,0.3,0.37,0.263,0.288
bk,bge,kure,dense,,doc,0,phrasing,mixed,PHRASE(의역),200,0.31,0.4,0.2538,0.2882
bk,bge,kure,dense,,doc,0,phrasing,mixed,PHRASE(직접포함),200,0.63,0.72,0.5375,0.581
bk,bge,kure,dense,,doc,0,q_type_phrasing,mixed,1 의미기반 / 의역,50,0.16,0.24,0.1202,0.1484
bk,bge,kure,dense,,doc,0,q_type_phrasing,mixed,1 의미기반 / 직접포함,50,0.42,0.52,0.3094,0.3594
bk,bge,kure,dense,,doc,0,q_type_phrasing,mixed,2 식별자+의미기반 / 의역,50,0.78,0.84,0.7057,0.738
bk,bge,kure,dense,,doc,0,q_type_phrasing,mixed,2 식별자+의미기반 / 직접포함,50,0.74,0.78,0.6833,0.7073
bk,bge,kure,dense,,doc,0,q_type_phrasing,mixed,3 화자기반 / 의역,50,0.28,0.46,0.173,0.24
bk,bge,kure,dense,,doc,0,q_type_phrasing,mixed,3 화자기반 / 직접포함,50,0.78,0.9,0.6474,0.7077
bk,bge,kure,dense,,doc,0,q_type_phrasing,mixed,4 날짜기반 / 의역,50,0.02,0.06,0.0162,0.0264
bk,bge,kure,dense,,doc,0,q_type_phrasing,mixed,4 날짜기반 / 직접포함,50,0.58,0.68,0.5099,0.5496
bk,bge,kure,dense,,doc,0,document_q_type,en,jabber_en / 1 의미기반,50,0.24,0.32,0.1915,0.222
bk,bge,kure,dense,,doc,0,document_q_type,en,jabber_en / 2 식별자+의미기반,50,0.78,0.84,0.7095,0.7414
bk,bge,kure,dense,,doc,0,document_q_type,en,jabber_en / 3 화자기반,50,0.58,0.66,0.3938,0.4582
bk,bge,kure,dense,,doc,0,document_q_type,en,jabber_en / 4 날짜기반,50,0.28,0.34,0.264,0.2817
bk,bge,kure,dense,,doc,0,document_q_type,ru,jabber_ru / 1 의미기반,50,0.34,0.44,0.2381,0.2858
bk,bge,kure,dense,,doc,0,document_q_type,ru,jabber_ru / 2 식별자+의미기반,50,0.74,0.78,0.6796,0.704
bk,bge,kure,dense,,doc,0,document_q_type,ru,jabber_ru / 3 화자기반,50,0.48,0.7,0.4267,0.4894
bk,bge,kure,dense,,doc,0,document_q_type,ru,jabber_ru / 4 날짜기반,50,0.32,0.4,0.262,0.2943
bk,bge,kure,dense,,doc,0,overall,multi,ALL(다국어),400,0.47,0.56,0.3957,0.4346
bk,bge,kure,dense,,doc,0,overall,all,ALL,400,0.47,0.56,0.3957,0.4346
kb,kure,bge,dense,,doc,0,document,en,jabber_en,200,0.48,0.555,0.4003,0.437
kb,kure,bge,dense,,doc,0,document,ru,jabber_ru,200,0.545,0.595,0.4582,0.4914
kb,kure,bge,dense,,doc,0,q_type,mixed,QTYPE(1 의미기반),100,0.28,0.35,0.2384,0.2645
kb,kure,bge,dense,,doc,0,q_type,mixed,QTYPE(2 식별자+의미기반),100,0.74,0.76,0.6551,0.681
kb,kure,bge,dense,,doc,0,q_type,mixed,QTYPE(3 화자기반),100,0.64,0.75,0.5226,0.5765
kb,kure,bge,dense,,doc,0,q_type,mixed,QTYPE(4 날짜기반),100,0.39,0.44,0.301,0.3349
kb,kure,bge,dense,,doc,0,phrasing,mixed,PHRASE(의역),200,0.38,0.435,0.3243,0.3507
kb,kure,bge,dense,,doc,0,phrasing,mixed,PHRASE(직접포함),200,0.645,0.715,0.5342,0.5778
kb,kure,bge,dense,,doc,0,q_type_phrasing,mixed,1 의미기반 / 의역,50,0.18,0.22,0.1475,0.1647
kb,kure,bge,dense,,doc,0,q_type_phrasing,mixed,1 의미기반 / 직접포함,50,0.38,0.48,0.3293,0.3643
